Country,Time,CO2_emissions_kt,Population_growth_annual_percent,Forest_area_percent,Electricity_production,Renewable_electricity_output,Urban_population_growth,Total_greenhouse_gas_emissions,GDP_growth,Fossil_fuel_energy_consumption,Research_development_expenditure,Goods_services_exports,Population_density
USA,1972,..,1.07052,..,82.13833,..,1.08411,..,5.25891,95.36676,..,7.79452,22.91701
USA,1973,..,0.95448,..,81.82155,..,0.96806,..,5.64572,94.97719,..,18.81898,23.1368
USA,1974,..,0.91366,..,78.12393,..,0.92724,..,-0.54055,94.15645,..,7.94251,23.34916
USA,1975,..,0.98599,..,75.62526,..,0.99957,..,-0.20546,93.09795,..,-0.64048,23.58052
USA,1976,..,0.95022,..,76.93078,..,0.9638,..,5.38814,93.00562,..,4.3668,23.80565
USA,1977,..,1.00577,..,77.92291,..,1.01935,..,4.62415,92.4223,..,2.4036,24.04629
USA,1978,..,1.05957,..,74.97421,..,1.07179,..,5.53531,91.74381,..,10.5553,24.30243
USA,1979,..,1.10358,..,76.36641,..,1.11715,..,3.16615,91.80293,..,9.90269,24.57211
USA,1980,..,0.95959,..,77.30942,..,1.02199,..,-0.25675,91.42607,..,10.76731,24.80904
USA,1981,..,0.98142,..,77.07261,..,1.18734,..,2.53772,90.83195,..,1.21877,25.05372
USA,1982,..,0.95332,..,74.03194,..,1.15882,..,-1.80289,90.04312,..,-7.65703,25.2937
USA,1983,..,0.91438,..,73.32935,..,1.11946,..,4.58391,89.45507,..,-2.59117,25.52604
USA,1984,..,0.86582,..,73.47116,..,1.06779,..,7.23663,88.90104,..,8.15288,25.74801
USA,1985,..,0.88613,..,73.22376,..,1.08769,..,4.16966,88.30167,..,3.35066,25.97719
USA,1986,..,0.92416,..,71.7836,..,1.12532,..,3.46265,87.65663,..,7.66216,26.21837
USA,1987,..,0.89383,..,73.04385,..,1.09324,..,3.45925,87.37781,..,10.92877,26.45377
USA,1988,..,0.908,..,72.71828,..,1.10702,..,4.17706,87.07724,..,16.21229,26.69506
USA,1989,..,0.94441,..,71.59522,..,1.14037,..,3.67265,87.09329,..,11.57676,26.94837
USA,1990,4844520,1.12965,33.02231,69.06323,11.52865,1.41026,..,1.88597,86.43784,..,8.82199,27.25451
USA,1991,4807500,1.33626,33.03417,68.86307,10.75741,1.86738,-1.01774,-0.10827,85.69474,..,6.61425,27.62115
USA,1992,4879630,1.38689,33.04602,69.54947,9.91611,1.90863,0.0229,3.52244,85.57482,..,6.92727,28.00689
USA,1993,4995210,1.31868,33.05788,70.1448,10.48433,1.83118,2.38932,2.75178,86.11797,..,3.26473,28.37866
USA,1994,5066810,1.2263,33.06974,70.26372,9.74724,1.73098,3.89312,4.02879,85.91213,..,8.83606,28.72881
USA,1995,5117040,1.19079,33.08159,68.81149,10.80109,1.68647,3.73533,2.68422,85.46934,..,10.27822,29.07295
USA,1996,5273490,1.16341,33.09345,68.48395,11.58145,1.65278,7.19708,3.77257,85.51006,2.45001,8.17655,29.41317
USA,1997,5543350,1.20396,33.10531,70.52875,10.97783,1.68198,9.58787,4.44718,86.45649,2.47983,11.90958,29.76943
USA,1998,5590540,1.16572,33.11717,71.2802,9.60859,1.63763,9.98881,4.48139,86.08659,2.50401,2.33573,30.11849
USA,1999,5609020,1.14834,33.12902,70.64336,9.0692,1.61296,10.95232,4.7945,85.7846,2.54965,4.98363,30.46634
USA,2000,5775810,1.11277,33.13017,71.59345,8.206,1.51201,13.57591,4.07716,85.88083,2.62879,8.31116,30.7973
USA,2001,5748260,0.98974,33.18676,72.19883,6.78399,1.21338,11.16577,0.95434,86.34598,2.6483,-5.58207,31.10363
USA,2002,5593029.785,0.9278,33.24334,70.98738,8.64636,1.14842,13.78228,1.69594,86.24908,2.55926,-1.96188,31.39355
USA,2003,5658990.234,0.85948,33.29992,71.28935,8.88938,1.07836,13.93658,2.79621,86.27839,2.56455,2.10304,31.66454
USA,2004,5738290.039,0.92548,33.3565,71.3857,8.63019,1.14389,18.05999,3.85255,86.12431,2.50243,9.63718,31.95895
USA,2005,5753490.234,0.92171,33.41308,72.10486,8.57847,1.13589,17.05833,3.48322,86.01854,2.51697,6.9416,32.25488
USA,2006,5653080.078,0.96425,33.46967,71.32592,9.24463,1.17797,13.98273,2.78281,85.62647,2.55764,9.46544,32.5674
USA,2007,5736319.824,0.95106,33.52625,71.96689,8.36776,1.16307,16.18062,2.01051,85.61471,2.63161,8.75921,32.87861
USA,2008,5558379.883,0.94587,33.63606,71.39218,9.00354,1.15619,8.3587,0.12219,84.96822,2.76791,5.7817,33.24369
USA,2009,5156430.176,0.87665,33.69274,69.45036,10.29185,1.08529,7.6266,-2.59989,84.15425,2.8127,-8.29435,33.5364
USA,2010,5392109.863,0.82962,33.74941,70.27777,10.12036,1.03535,9.40754,2.70886,84.15059,2.7354,12.8828,33.81578
USA,2011,5173600.098,0.72679,33.77947,68.41786,12.22571,0.93951,7.09834,1.5499,83.71405,2.76525,7.16646,34.06244
USA,2012,4956060.059,0.7336,33.80953,68.86284,12.0074,0.94957,3.38566,2.28069,83.43718,2.68166,4.0135,34.31325
USA,2013,5092100.098,0.69286,33.8396,67.82465,12.63792,0.91451,..,1.84188,82.94051,2.71154,2.97141,34.55181
USA,2014,5107209.961,0.73336,33.86966,67.46195,12.95383,0.95943,..,2.28778,83.08904,2.72151,3.88365,34.80613
USA,2015,4990709.961,0.73622,33.89972,67.0787,13.22859,0.96668,..,2.70637,82.42783,2.78206,0.27109,35.06333
USA,2016,4894500,0.72468,33.89972,..,..,0.95827,..,1.66747,..,2.84585,0.40526,35.31835
USA,2017,4819370.117,0.63264,33.86693,..,..,0.87179,..,2.25568,..,2.89572,4.07791,35.5425
USA,2018,4975310.059,0.52644,33.86693,..,..,0.76744,..,2.91886,..,3.00082,2.8111,35.7301
USA,2019,4817720.215,0.45538,33.86693,..,..,0.70187,..,2.28887,..,3.16609,-0.06519,35.89318
USA,2020,..,0.9612,33.86693,..,..,1.2095,..,-3.40459,..,3.45018,-13.56282,36.23985
USA,2021,..,0.11838,..,..,..,0.37089,..,5.67111,..,..,..,..
