100,"t","Crop Production Historical Track Records: Released April 11, 2022, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
100,"t","Rye Area Planted and Harvested, Yield, Production, Price, and Value –"
100,"t","United States: 1866-2021 (continued)"
100,"t","[Blank data cells indicate a program change or that the estimation period has not yet begun]"
100,"h","","","","","","",""
100,"h","Year","Area planted","Area harvested","Yield per acre","Production","Price per bushel 1/","Value of production"
100,"h","","","","","","",""
100,"u","","(1,000 acres)","(1,000 acres)","(bushels)","(1,000 bushels)","(dollars)","(1,000 dollars)"
100,"d","1910",,2262,12.9,29098,0.725,
100,"d","1911",,2452,12.8,31396,0.806,
100,"d","1912",,2724,13.9,37911,0.633,
100,"d","1913",,3089,13.1,40390,0.594,
100,"d","1914",,3144,13.4,42120,0.812,
100,"d","1915",,3417,13.7,46752,0.836,
100,"d","1916",,3528,12.2,43089,1.120,
100,"d","1917",,5064,11.9,60381,1.730,
100,"d","1918",,6709,12.5,83586,1.490,
100,"d","1919",,7187,11.0,78849,1.450,
100,"d","",,,,,,
100,"d","1920",,4843,12.8,62113,1.460,
100,"d","1921",,4865,12.6,61205,0.834,
100,"d","1922",,6770,14.9,101142,0.627,
100,"d","1923",,4946,11.3,56091,0.580,
100,"d","1924",,3943,14.8,58470,0.945,
100,"d","1925",,3807,11.1,42418,0.775,
100,"d","1926",,3427,10.2,34968,0.825,
100,"d","1927",,3466,14.8,51196,0.824,
100,"d","1928",,3320,11.5,38055,0.816,
100,"d","1929",,3138,11.3,35411,0.844,
100,"d","",,,,,,
100,"d","1930",,3646,12.4,45383,0.433,
100,"d","1931",5345,3159,10.4,32777,0.339,
100,"d","1932",5401,3350,11.7,39099,0.269,
100,"d","1933",4714,2405,8.6,20573,0.623,
100,"d","1934",5453,1921,8.5,16285,0.720,
100,"d","1935",6210,4066,14.0,56938,0.383,
100,"d","1936",6446,2694,9.0,24239,0.808,
100,"d","1937",7235,3825,12.8,48862,0.672,
100,"d","1938",6654,4087,13.7,55984,0.322,
100,"d","1939",7206,3822,10.1,38562,0.426,
100,"d","",,,,,,
100,"d","1940",5514,3204,12.4,39725,0.399,
100,"d","1941",6143,3573,12.3,43878,0.520,
100,"d","1942",6371,3792,14.0,52929,0.583,
100,"d","1943",5311,2652,10.8,28680,0.977,
100,"d","1944",4415,2132,10.6,22525,1.090,
100,"d","1945",4157,1850,12.8,23708,1.360,
100,"d","1946",3396,1597,11.6,18487,1.940,
100,"d","1947",3678,1991,12.8,25497,2.280,
100,"d","1948",3725,2058,12.6,25886,1.430,
100,"d","1949",3293,1554,11.6,18102,1.200
100,"c",""
100,"c","See footnote(s) at end of table.","--continued"
